"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Technology","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","Net.Generation..Megawatthours.","cap_fac"
10575,10752,"HY","WAT","Conventional Hydroelectric",3.8,1987,1987,1987,10721,0.322068012496996
10575,10753,"HY","WAT","Conventional Hydroelectric",5.2,1987,1987,1987,10721,0.235357393747805
10576,55149,"CS","NG","Natural Gas Fired Combined Cycle",840,2002,2002,2002,5254358,0.714062567949554
1058,50200,"GT","NG","Natural Gas Fired Combustion Turbine",6.1,1988.5,1995,1982,36550,0.683995808069466
10596,1985,"IC","DFO","Petroleum Liquids",5.8,1969.25,1999,1952,9,0.000177137458667926
10604,2773,"HY","WAT","Conventional Hydroelectric",3.6,1927,1927,1927,7990,0.253361237950279
10606,1154,"IC","DFO","Petroleum Liquids",18.5,1973,1999,1956,127.201,0.000784900654078736
10608,1153,"IC","DFO","Petroleum Liquids",4,2005,2005,2005,32,0.00091324200913242
10622,7415,"IC","DFO","Petroleum Liquids",3.4,1994,2003,1985,17,0.000570776255707763
10623,676,"CA","NG","Natural Gas Fired Combined Cycle",120,2002,2002,2002,616046,0.586040715372907
10623,676,"CT","NG","Natural Gas Fired Combined Cycle",249,2001,2001,2001,1094270,0.501673360107095
10623,676,"GT","NG","Natural Gas Fired Combustion Turbine",26.6,1973,1973,1973,115.005,0.000493549799155423
10623,676,"IC","DFO","Petroleum Liquids",5,1970,1970,1970,0,0
10623,676,"ST","BIT","Conventional Steam Coal",363.8,1982,1982,1982,1326679.4,0.416293073368126
10623,676,"ST","NG","Natural Gas Steam Turbine",126,1976,1976,1976,104192.91,0.0943981572080887
10623,7997,"IC","DFO","Petroleum Liquids",50,2001,2001,2001,0,0
10628,7393,"IC","NG","Natural Gas Internal Combustion Engine",4.4,1990,1990,1990,7.194,0.000186643835616438
10633,508,"ST","SUB","Conventional Steam Coal",43.5,1990.5,2009,1972,0,0
10633,508,"WT","WND","Onshore Wind Turbine",6,2004,2004,2004,10343,0.196784627092846
10650,1155,"IC","DFO","Petroleum Liquids",10.5,1971.5,2011,1940,27.505,0.000299032398347467
10657,50942,"IC","NG","Natural Gas Internal Combustion Engine",3,1991.33333333333,1996,1989,0,0
10685,1987,"HY","WAT","Conventional Hydroelectric",0.3,1923,1923,1923,11,0.00418569254185693
10685,1987,"IC","DFO","Petroleum Liquids",2.3,2004,2004,2004,11,0.000545959896763947
10714,51034,"HY","WAT","Conventional Hydroelectric",13,1987,1987,1987,49974,0.438830347734457
10723,54753,"HY","WAT","Conventional Hydroelectric",2.4,1984,1984,1984,6893,0.327863394216134
10730,507,"IC","DFO","Petroleum Liquids",5.6,1950.2,1967,1941,-89,-0.00181425309849967
1074,55144,"CS","NG","Natural Gas Fired Combined Cycle",989,2002,2002,2002,3964130,0.457559409209062
10760,2249,"IC","NG","Natural Gas Internal Combustion Engine",4.1,1975.25,1992,1965,0,0
10769,1157,"IC","DFO","Petroleum Liquids",9.1,1988.4,2013,1951,51,0.000639771187716393
10777,56348,"IC","DFO","Petroleum Liquids",4,2006,2006,2006,37,0.00105593607305936
10810,58258,"GT","NG","Natural Gas Fired Combustion Turbine",9.2,2015,2015,2015,30744.56,0.38148401826484
10830,2921,"GT","DFO","Petroleum Liquids",20,1976,1986,1966,0,0
10830,2921,"IC","DFO","Petroleum Liquids",10.6,1962,1970,1955,0,0
10908,1158,"IC","DFO","Petroleum Liquids",6.1,1979.2,2016,1948,35,0.000654989145894154
10944,7427,"HY","WAT","Conventional Hydroelectric",70,1994,1994,1994,250842,0.409070450097847
11017,1300,"IC","NG","Natural Gas Internal Combustion Engine",10.6,1966.5,1979,1958,15.834,0.000170522098733523
11018,2250,"GT","NG","Natural Gas Fired Combustion Turbine",27,1972,1972,1972,233.654,0.000987882631489937
11018,6373,"GT","NG","Natural Gas Fired Combustion Turbine",263.2,1991,2001,1975,22305.372,0.00967429841362368
11018,6373,"IC","DFO","Petroleum Liquids",2.9,1997,1997,1997,16,0.000629822075263738
11018,7887,"CA","NG","Natural Gas Fired Combined Cycle",28.2,2004,2004,2004,19838,0.0803053855370964
11018,7887,"CT","NG","Natural Gas Fired Combined Cycle",121,2003.5,2004,2003,76777,0.0724338654288841
11018,7887,"GT","NG","Natural Gas Fired Combustion Turbine",60.5,2003,2003,2003,63318.207,0.119472823502774
11018,7887,"IC","DFO","Petroleum Liquids",1.8,2004,2004,2004,15.488,0.000982242516489092
11018,7887,"IC","LFG","Landfill Gas",4.8,2014,2014,2014,30748.512,0.731271689497717
11018,7965,"WT","WND","Onshore Wind Turbine",1.2,1998.5,1999,1998,2212,0.210426179604262
11059,55047,"CA","NG","Natural Gas Fired Combined Cycle",270,1999,2000,1998,1660955,0.702247167258583
11059,55047,"CT","NG","Natural Gas Fired Combined Cycle",545,1999.33333333333,2000,1998,3179589,0.665994093251225
11064,1989,"IC","DFO","Petroleum Liquids",15.7,1996.57142857143,2010,1963,206.484,0.00150135241252945
11079,10050,"IC","OBG","Other Waste Biomass",1.3,2009,2009,2009,4631.02,0.406657885493502
11082,54386,"HY","WAT","Conventional Hydroelectric",2.8,1985,1985,1985,3852,0.157045009784736
11118,3275,"HY","WAT","Conventional Hydroelectric",18,1921,1921,1921,60913,0.38630771182141
11118,57030,"IC","DFO","Petroleum Liquids",5.4,2006,2006,2006,-118,-0.00249450363605615
11118,57885,"IC","LFG","Landfill Gas",1.6,2011,2011,2011,12714,0.907106164383562
11118,57886,"IC","DFO","Petroleum Liquids",7.2,2011,2011,2011,11,0.000174403855910705
11118,58257,"HY","WAT","Conventional Hydroelectric",1.1,2013,2013,2013,4704,0.488169364881694
11118,60241,"IC","LFG","Landfill Gas",3.2,2015,2015,2015,21227,0.757241723744292
11127,54041,"CA","NG","Natural Gas Fired Combined Cycle",75.2,1992,1992,1992,191278.18,0.290364477071796
11127,54041,"CT","NG","Natural Gas Fired Combined Cycle",146.1,1992,1992,1992,425521.54,0.332481302291856
11135,3675,"HY","WAT","Conventional Hydroelectric",1.4,1925,1925,1925,5108,0.416503587736464
